Rank,Year,Country,Elo,predrfmodelcs
132,2009,Turkmenistan,1298,1493.217149
140,2015,Turkmenistan,1272,1492.188205
148,2017,Turkmenistan,1254,1497.441523
91,1969,Uganda,1402,1509.455015
77,1974,Uganda,1457,1519.964109
68,1978,Uganda,1492,1536.293189
78,1982,Uganda,1472,1514.358326
75,1986,Uganda,1489,1515.013177
63,1990,Uganda,1529,1507.22998
68,1991,Uganda,1492,1525.913181
77,1992,Uganda,1505,1513.17546
104,1995,Uganda,1409,1475.337079
105,1996,Uganda,1403,1478.390594
98,1998,Uganda,1432,1478.071957
113,1999,Uganda,1367,1496.402122
107,2005,Uganda,1375,1493.788232
108,2007,Uganda,1400,1481.611161
72,2010,Uganda,1564,1535.206534
70,2012,Uganda,1566,1545.015042
74,2015,Uganda,1534,1545.099747
59,1995,Ukraine,1585,1664.509236
44,1996,Ukraine,1641,1675.378309
41,2001,Ukraine,1696,1679.217094
20,2006,Ukraine,1806,1777.358087
37,2007,Ukraine,1732,1775.84489
28,2011,Ukraine,1767,1778.605839
20,2013,Ukraine,1823,1775.696579
17,2014,Ukraine,1825,1776.806781
16,2015,Ukraine,1817,1761.849864
25,2016,Ukraine,1769,1772.499651
75,1992,United Arab Emirates,1507,1466.821444
74,1995,United Arab Emirates,1530,1476.226285
71,2000,United Arab Emirates,1529,1483.332474
102,2008,United Arab Emirates,1422,1510.667365
111,2009,United Arab Emirates,1398,1503.924565
93,2010,United Arab Emirates,1473,1517.504134
112,2011,United Arab Emirates,1387,1552.729289
93,2012,United Arab Emirates,1476,1559.528932
52,2014,United Arab Emirates,1644,1568.867814
71,2017,United Arab Emirates,1563,1560.793501
77,1965,United States,1472,1472.521286
75,1966,United States,1472,1480.676487
74,1967,United States,1472,1481.84107
72,1971,United States,1464,1482.384181
69,1980,United States,1516,1515.429511
69,1981,United States,1516,1525.175406
66,1982,United States,1528,1527.95648
17,2005,United States,1841,1671.874655
29,2007,United States,1764,1672.840091
23,2010,United States,1768,1671.23392
19,2014,United States,1814,1669.763035
14,1962,Uruguay,1855,1685.854877
14,1965,Uruguay,1848,1678.937422
13,1966,Uruguay,1843,1679.474852
8,1970,Uruguay,1854,1666.905307
24,1972,Uruguay,1784,1663.679736
36,1978,Uruguay,1679,1682.56515
20,1982,Uruguay,1794,1689.78401
26,1986,Uruguay,1777,1676.134105
16,1990,Uruguay,1846,1700.895113
18,1995,Uruguay,1838,1709.430659
23,1996,Uruguay,1768,1709.838439
24,1998,Uruguay,1758,1715.797366
32,1999,Uruguay,1734,1718.409586
18,2006,Uruguay,1823,1712.085295
11,2014,Uruguay,1909,1760.856188
9,2015,Uruguay,1947,1759.548259
11,2016,Uruguay,1915,1759.688686
13,2017,Uruguay,1867,1761.883545
66,1998,Uzbekistan,1545,1512.177235
67,2005,Uzbekistan,1577,1490.309274
56,2011,Uzbekistan,1621,1575.748383
50,2014,Uzbekistan,1645,1585.784645
48,2016,Uzbekistan,1667,1594.005031
60,2017,Uzbekistan,1609,1573.346119
105,2000,Venezuela,1410,1555.089683
53,2002,Venezuela,1609,1536.603168
53,2006,Venezuela,1626,1597.339513
48,2008,Venezuela,1659,1633.020434
37,2011,Venezuela,1714,1630.381768
34,2012,Venezuela,1710,1644.039892
147,1998,Vietnam,1218,1436.582279
134,1999,Vietnam,1287,1434.160527
142,2000,Vietnam,1251,1419.758889
152,2006,Vietnam,1220,1395.104584
123,2008,Vietnam,1334,1394.248754
118,2009,Vietnam,1363,1418.457019
145,2010,Vietnam,1245,1427.40472
147,2012,Vietnam,1244,1509.526564
153,2013,Vietnam,1218,1510.952885
147,2014,Vietnam,1236,1511.941928
158,2015,Vietnam,1213,1510.466324
62,1964,Zambia,1534,1499.560175
57,1967,Zambia,1580,1474.05134
58,1969,Zambia,1565,1471.142533
69,1971,Zambia,1492,1464.304072
63,1975,Zambia,1507,1518.245364
60,1976,Zambia,1543,1521.454923
62,1979,Zambia,1544,1522.741314
67,1980,Zambia,1522,1526.392502
54,1981,Zambia,1583,1523.181122
39,1982,Zambia,1663,1522.152242
41,1984,Zambia,1627,1497.943055
55,1987,Zambia,1572,1499.825231
42,1988,Zambia,1623,1500.077646
68,1989,Zambia,1513,1516.706935
53,1990,Zambia,1590,1501.404493
45,1991,Zambia,1629,1502.062363
51,1992,Zambia,1615,1503.140286
43,1993,Zambia,1646,1503.401216
58,1998,Zambia,1591,1348.94357
84,2000,Zambia,1460,1508.76707
87,2004,Zambia,1494,1523.967461
67,2007,Zambia,1565,1558.957071
80,2008,Zambia,1525,1580.285103
61,2012,Zambia,1586,1589.32887
82,2017,Zambia,1501,1597.746442
82,1969,Zimbabwe,1450,1496.422458
75,1971,Zimbabwe,1450,1493.84166
78,1974,Zimbabwe,1450,1525.841443
81,1975,Zimbabwe,1450,1523.939843
66,1986,Zimbabwe,1535,1530.995896
69,1987,Zimbabwe,1522,1529.978188
67,1988,Zimbabwe,1502,1536.447005
84,1991,Zimbabwe,1432,1537.498783
79,1999,Zimbabwe,1494,1524.559466
79,2000,Zimbabwe,1486,1522.838475
119,2014,Zimbabwe,1360,1558.382376
89,2017,Zimbabwe,1472,1573.778139
