Year,Country,Elo,CONF,PopulationOLD,X4yrAgoGDP,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC,Population, GDP ,GDPPER
2017,Greece,1662,UEFA,10698490,229000000000,21407,1,0,10636915,260782138358,24517
2017,GreNAda,1112,CONCACAF,109886,1346784623,12256,0,0,111986,1607227764,14352
2017,Guatemala,1512,CONCACAF,18319460,104000000000,5661,1,0,19842288,138558554152,6983
2017,Guinea,1472,CAF,14106240,22667000074,1607,1,0,15647028,38752829118,2477
2017,Guinea-Bissau,1294,CAF,2057909,3078163488,1496,.,0,2275306,5360944112,2356
2017,GuyaNA,1190,CONCACAF,796408,4743282602,5956,.,0,815399,5975269217,7328
2017,Haiti,1495,CONCACAF,11537028,17783665747,1541,1,0,12120958,29137666885,2404
2017,Honduras,1610,CONCACAF,9905179,34171766387,3450,1,0,10589515,47964680176,4529
2017,Hong Kong,1190,AFC,7617124,397000000000,52132,1,0,7849423,461095060113,58743
2017,Hungary,1612,UEFA,9650859,159000000000,16525,1,0,9522326,181737820777,19085
2017,Iceland,1811,UEFA,365920,28829699103,78787,1,0,392334,34728854229,88519
2017,India,1160,AFC,1401293078,3400000000000,2427,0,0,1466286910,4162966355575,2839
2017,Indonesia,1233,AFC,275881771,1330000000000,4811,1,0,288307716,1682434837163,5836
2017,Iran,1799,AFC,84823437,564000000000,6654,1,0,88649190,710504088435,8015
2017,Iraq,1569,AFC,42950692,276000000000,6416,1,0,48198049,375782143840,7797
2017,Ireland,1732,UEFA,5055435,394000000000,77927,0,0,5309411,464574555147,87500
2017,Israel,1535,UEFA,9418084,429000000000,45526,1,0,10180927,523022461801,51373
2017,Italy,1906,UEFA,60248232,2170000000000,35996,1,0,59946566,2425692439807,40464
2017,Jamaica,1565,CONCACAF,2926410,18679987689,6383,0,0,2962972,23116483019,7802
2017,Japan,1707,AFC,125955047,5380000000000,42734,0,0,125129740,5937544806289,47451
2017,Jordan,1476,AFC,10768924,56930720264,5287,1,0,11952743,78573553251,6574
2017,Kazakhstan,1340,UEFA,19052891,200000000000,10515,1,0,20125279,249123123619,12379
2017,Kenya,1397,CAF,55048277,130000000000,2358,1,0,60972258,200991062997,3296
2017,Kiribati,545,None,124843,320510338,2567,.,0,133900,475422655,3551
2017,Kosovo,1371,UEFA,1890107,9505068436,5029,.,0,1951441,12281983272,6294
2017,Kuwait,1433,AFC,4493858,148000000000,33044,1,0,4882056,183092651864,37503
2017,Latvia,1363,UEFA,1867684,33746498890,18069,0,0,1797378,37434498933,20827
2017,Lebanon,1457,AFC,6396786,65139958446,10183,1,0,6727469,80935299191,12031
2017,Lesotho,1270,CAF,2356256,4727015975,2006,.,0,2485938,7269972160,2924
2017,Liberia,1308,CAF,5241991,6273951517,1197,1,0,5807061,11743530335,2022
2017,Libya,1476,CAF,6712949,64423971262,9597,1,0,7069239,80429530706,11377
2017,Lithuania,1406,UEFA,2672398,51517694668,19278,0,0,2525607,55998300364,22172
2017,Luxembourg,1322,UEFA,675759,78885551549,116736,1,0,761783,99654369643,130817
2017,Macedonia,1520,UEFA,2090998,14124783999,6755,1,0,2098866,17246909846,8217
2017,Madagascar,1368,CAF,28506388,33884117111,1189,1,0,31778871,63839199772,2009
2017,Malawi,1305,CAF,20939720,22293204903,1065,1,0,23545775,44089706253,1873
2017,Malaysia,1062,AFC,33447367,392000000000,11724,1,0,35375570,484472850572,13695
2017,Maldives,939,AFC,472754,5878222652,12434,.,0,512219,7452654471,14550
2017,Mali,1515,CAF,20939966,33631555769,1606,1,0,23648077,58500232382,2474
2017,Malta,1216,UEFA,507728,15601031410,30727,1,0,554035,19358990319,34942
2017,Mauritania,1298,CAF,4938231,9657197816,1956,.,0,5516993,15822136474,2868
2017,Mauritius,1068,CAF,1269185,15794798180,12445,1,0,1273774,18546641074,14560
2017,Mexico,1848,CONCACAF,135907460,1420000000000,10426,1,0,143003787,1727584342132,12081
2017,Moldova,1332,UEFA,3540950,11474434387,3241,1,0,3532172,15188892870,4300
2017,Mongolia,653,AFC,3278104,15901695537,4851,0,0,3493887,21292854296,6094
2017,Montenegro,1614,UEFA,623144,5757131012,9239,.,0,623817,6854417928,10988
2017,Morocco,1691,CAF,37665122,154000000000,4076,1,0,39694406,206722343632,5208
2017,Mozambique,1316,CAF,33333252,38353551639,1151,1,0,37450264,73618347741,1966
2017,Myanmar,1093,AFC,55366383,118000000000,2126,1,0,57436789,174594583082,3040
2017,NAmibia,1378,CAF,2764764,18009475302,6514,.,0,3016788,23977256121,7948
