Year,Country,Elo,CONF,PopulationOLD, X4yrAgoGDP ,X4yrAgoGDPPER,FAVSPORT,X1yrPopROC, Population 
2017,Haiti,1495,CONCACAF,11537028,17783665747,1541,1,0,12120958
2017,Honduras,1610,CONCACAF,9905179,34171766387,3450,1,0,10589515
2017,Hong Kong,1190,AFC,7617124,397095000000,52132,1,0,7849423
2017,Hungary,1612,UEFA,9650859,159477000000,16525,1,0,9522326
2017,Iceland,1811,UEFA,365920,28829699103,78787,1,0,392334
2017,India,1160,AFC,1401293078,3400950000000,2427,0,0,1466286910
2017,Indonesia,1233,AFC,275881771,1327280000000,4811,1,0,288307716
2017,Iran,1799,AFC,84823437,564400000000,6654,1,0,88649190
2017,Iraq,1569,AFC,42950692,275561000000,6416,1,0,48198049
2017,Ireland,1732,UEFA,5055435,393954000000,77927,0,0,5309411
2017,Israel,1535,UEFA,9418084,428767000000,45526,1,0,10180927
2017,Italy,1906,UEFA,60248232,2168690000000,35996,1,0,59946566
2017,Jamaica,1565,CONCACAF,2926410,18679987689,6383,0,0,2962972
2017,Japan,1707,AFC,125955047,5382610000000,42734,0,0,125129740
2017,Jordan,1476,AFC,10768924,56930720264,5287,1,0,11952743
2017,Kazakhstan,1340,UEFA,19052891,200335000000,10515,1,0,20125279
2017,Kenya,1397,CAF,55048277,129792000000,2358,1,0,60972258
2017,Kiribati,545,None,124843,320510338,2567,.,0,133900
2017,Kosovo,1371,UEFA,1890107,9505068436,5029,.,0,1951441
2017,Kuwait,1433,AFC,4493858,148495000000,33044,1,0,4882056
2017,Latvia,1363,UEFA,1867684,33746498890,18069,0,0,1797378
2017,Lebanon,1457,AFC,6396786,65139958446,10183,1,0,6727469
2017,Lesotho,1270,CAF,2356256,4727015975,2006,.,0,2485938
2017,Liberia,1308,CAF,5241991,6273951517,1197,1,0,5807061
2017,Libya,1476,CAF,6712949,64423971262,9597,1,0,7069239
2017,Liechtenstein,1168,UEFA,38967,.,.,.,0,40041
2017,Lithuania,1406,UEFA,2672398,51517694668,19278,0,0,2525607
2017,Luxembourg,1322,UEFA,675759,78885551549,116736,1,0,761783
2017,Macedonia,1520,UEFA,2090998,14124783999,6755,1,0,2098866
2017,Madagascar,1368,CAF,28506388,33884117111,1189,1,0,31778871
2017,Malawi,1305,CAF,20939720,22293204903,1065,1,0,23545775
2017,Malaysia,1062,AFC,33447367,392151000000,11724,1,0,35375570
2017,Maldives,939,AFC,472754,5878222652,12434,.,0,512219
2017,Mali,1515,CAF,20939966,33631555769,1606,1,0,23648077
2017,Malta,1216,UEFA,507728,15601031410,30727,1,0,554035
2017,Mauritania,1298,CAF,4938231,9657197816,1956,.,0,5516993
2017,Mauritius,1068,CAF,1269185,15794798180,12445,1,0,1273774
2017,Mexico,1848,CONCACAF,135907460,1417030000000,10426,1,0,143003787
2017,Moldova,1332,UEFA,3540950,11474434387,3241,1,0,3532172
2017,Monaco,903,None,39491,.,.,.,0,40303
2017,Mongolia,653,AFC,3278104,15901695537,4851,0,0,3493887
2017,Montenegro,1614,UEFA,623144,5757131012,9239,.,0,623817
2017,Morocco,1691,CAF,37665122,153514000000,4076,1,0,39694406
2017,Mozambique,1316,CAF,33333252,38353551639,1151,1,0,37450264
2017,Myanmar,1093,AFC,55366383,117692000000,2126,1,0,57436789
2017,Namibia,1378,CAF,2764764,18009475302,6514,.,0,3016788
2017,Nepal,900,AFC,30637649,49502553568,1616,0,0,32030902
2017,Netherlands,1896,UEFA,17550493,953248000000,54315,1,0,17978312
2017,New Zealand,1525,OFC,5223515,253483000000,48527,0,0,5691631
2017,Nicaragua,1267,CONCACAF,6497278,20555819004,3164,0,0,6789558
2017,Niger,1296,CAF,25094131,27827732266,1109,.,0,29319979
2017,Nigeria,1696,CAF,212085319,598622000000,2823,1,0,235638597
2017,Northern Mariana Islands,411,AFC,55631,.,.,.,0,56123
2017,Norway,1581,UEFA,5478331,464558000000,84799,1,0,5681719
2017,Oman,1513,AFC,5613111,101845000000,18144,.,0,6795780
2017,Pakistan,946,AFC,213196997,504169000000,2365,0,0,230706998
2017,Palau,402,None,22662,354581430,15647,.,0,23635
2017,Panama,1672,CONCACAF,4369135,76457123577,17499,0,0,4657542
2017,Papua New Guinea,1093,OFC,8958171,31666463800,3535,0,0,9725761
2017,Paraguay,1753,CONMEBOL,7168713,39796125898,5551,1,0,7544884
2017,Peru,1882,CONMEBOL,33791125,269690000000,7981,1,0,35498925
