Year,Team,AVGAGE,MEDAGE,AGERANGE,AVGHEIGHT,MEDHEIGHT,AGECOUNT,HEIGHTCOUNT,AGEHEIGHT,Place,MaxRounds,Perf,PerfPer
1978,Italy,25.95454545,26,16,1.787727273,1.78,22,22,46.28,2,4,2,0.5
1978,Mexico,23.63636364,24.5,9,1.765,1.765,22,18,43.2425,4,4,0,0
1978,Peru,26.45454545,26.5,12,1.751176471,1.75,22,17,46.375,3,4,1,0.25
1978,Poland,25.68181818,27,13,1.814210526,1.8,22,19,48.6,3,4,1,0.25
1978,Scotland,27.40909091,27,9,1.760588235,1.78,22,17,48.06,4,4,0,0
1978,Spain,26.68181818,26.5,10,.,.,22,12,.,4,4,0,0
1978,Sweden,26.81818182,28,15,1.826,1.83,22,15,51.24,4,4,0,0
1978,Tunisia,25.22727273,24.5,11,.,.,22,11,.,4,4,0,0
1978,West Germany,26.86363636,27,14,1.7913636,1.8,22,22,48.6,3,4,1,0.25
1982,Algeria,26.40909091,27,9,1.792352941,1.78,22,17,48.06,4,4,0,0
1982,Argentina,26.81818182,27,13,1.748333333,1.725,22,18,46.575,3,4,1,0.25
1982,Austria,26.63636364,26,13,1.811764706,1.8,22,17,46.8,3,4,1,0.25
1982,Belgium,27.22727273,27.5,16,1.795454545,1.8,22,22,49.5,3,4,1,0.25
1982,Brazil,26.27272727,27,9,.,.,22,9,.,3,4,1,0.25
1982,Cameroon,.,.,.,.,.,11,11,.,4,4,0,0
1982,Chile,27.5,27.5,14,1.763846154,1.78,22,13,48.95,4,4,0,0
1982,Czechoslovakia,27.63636364,27.5,11,.,.,22,10,.,4,4,0,0
1982,El Salvador,26.35,26,11,1.764615385,1.75,20,13,45.5,4,4,0,0
1982,England,28.09090909,28,11,1.790526316,1.8,22,19,50.4,3,4,1,0.25
1982,France,26.54545455,26,14,1.774090909,1.78,22,22,46.28,2,4,2,0.5
1982,Honduras,26.90909091,26.5,13,.,.,22,9,.,4,4,0,0
1982,Hungary,28.36363636,27,24,1.788823529,1.8,22,17,48.6,4,4,0,0
1982,Italy,26.86363636,27,22,1.7845,1.78,22,20,48.06,0,4,4,1
1982,Kuwait,.,.,.,1.744615385,1.75,9,13,.,4,4,0,0
1982,New Zealand,25.90909091,24.5,16,1.784,1.78,22,15,43.61,4,4,0,0
1982,Northern Ireland,27.04545455,26,20,1.791333333,1.78,22,15,46.28,3,4,1,0.25
1982,Peru,27.22727273,28,12,.,.,22,12,.,4,4,0,0
1982,Poland,25.36363636,26,12,1.789473684,1.78,22,19,46.28,2,4,2,0.5
1982,Scotland,26.36363636,25.5,14,1.7915,1.79,22,20,45.645,4,4,0,0
1982,Spain,26.45454545,26,13,1.7725,1.78,22,16,46.28,3,4,1,0.25
1982,USSR,25.22727273,25,10,1.7915,1.79,22,20,44.75,3,4,1,0.25
1982,West Germany,26.09090909,26,12,1.804090909,1.8,22,22,46.8,1,4,3,0.75
1982,Yugoslavia,25.90909091,25.5,12,1.802666667,1.8,22,15,45.9,4,4,0,0
1986,Algeria,28.04545455,28,10,1.793125,1.78,22,16,49.84,5,5,0,0
1986,Argentina,26.45454545,26.5,13,1.774761905,1.75,22,21,46.375,0,5,5,1
1986,Belgium,27.04545455,27.5,14,1.79,1.8,22,21,49.5,2,5,3,0.6
1986,Brazil,26.63636364,25.5,16,.,.,22,12,.,3,5,2,0.4
1986,Bulgaria,25.59090909,24.5,12,.,.,22,12,.,4,5,1,0.2
1986,Canada,25.5,25,14,1.788,1.78,22,15,44.5,5,5,0,0
1986,Denmark,27.40909091,27.5,16,1.816,1.83,22,20,50.325,4,5,1,0.2
1986,England,26.18181818,26,14,1.818636364,1.83,22,22,47.58,3,5,2,0.4
1986,France,27.5,27.5,11,1.788181818,1.78,22,22,48.95,2,5,3,0.6
1986,Hungary,26.54545455,26.5,12,1.807857143,1.815,22,14,48.0975,5,5,0,0
1986,Iraq,27,27.5,14,.,.,22,8,.,5,5,0,0
1986,Italy,27.04545455,27.5,12,1.789545455,1.78,22,22,48.95,4,5,1,0.2
1986,Mexico,25.59090909,25.5,10,1.770666667,1.78,22,15,45.39,3,5,2,0.4
1986,Morocco,25.76190476,26,15,1.761538462,1.78,21,13,46.28,4,5,1,0.2
1986,Northern Ireland,26.59090909,25.5,20,1.800588235,1.8,22,17,45.9,5,5,0,0
1986,Paraguay,26.31818182,25.5,9,1.771538462,1.75,22,13,44.625,4,5,1,0.2
1986,Poland,26.22727273,26,10,1.804545455,1.79,22,22,46.54,4,5,1,0.2
1986,Portugal,27.45454545,27.5,18,1.747647059,1.75,22,17,48.125,5,5,0,0
1986,Scotland,27.04545455,27,13,1.794,1.8,22,20,48.6,5,5,0,0
1986,South Korea,25.90909091,25,13,1.775454545,1.765,22,22,44.125,5,5,0,0
1986,Spain,26.27272727,26.5,13,1.781875,1.78,22,16,47.17,3,5,2,0.4
1986,USSR,25.95454545,25,13,1.795909091,1.8,22,22,45,4,5,1,0.2
1986,Uruguay,26.04545455,26,9,1.764117647,1.78,22,17,46.28,4,5,1,0.2
1986,West Germany,27.72727273,28.5,12,1.799090909,1.8,22,22,51.3,1,5,4,0.8
1990,Argentina,27.18181818,27,11,1.788636364,1.79,22,22,48.33,1,5,4,0.8
1990,Austria,24.72727273,24,12,1.826,1.83,22,20,43.92,5,5,0,0
1990,Belgium,27,26,15,1.803809524,1.8,22,21,46.8,4,5,1,0.2
1990,Brazil,26.09090909,26,12,1.78125,1.78,22,16,46.28,4,5,1,0.2
1990,Cameroon,26.59090909,25.5,18,1.793888889,1.815,22,18,46.2825,3,5,2,0.4
1990,Colombia,25.77272727,26,14,1.766111111,1.78,22,18,46.28,4,5,1,0.2
1990,Costa Rica,26.36363636,26,14,1.776,1.78,22,15,46.28,4,5,1,0.2
1990,Czechoslovakia,27.27272727,27,9,1.825,1.83,22,20,49.41,3,5,2,0.4
