"","x"
"2087",0.203646104573531
"153",0.000272382271009531
"1626",0.00208871639733686
"824",0.0311848669206385
"2420",0.0229646933025381
"1244",0.00297291880125104
"2541",0.206692324747134
"1792",0.00682843362476618
"246",0.0493638531445836
"2126",0.0363088363957838
"2421",0.0220647741797275
"445",0.0307943047973548
"2954",0.0918671452650657
"1881",0.544187352103319
"1762",0.0260824443006782
"2630",0.136771518332018
"2011",0.000975817427173616
"351",0.000163867644098672
"3414",0.4671627589061
"1680",6.043388049777e-05
"3069",0.459815203961223
"1799",0.00486330152726458
"618",0.0641548430060549
"1165",0.153873933969412
"987",0.096114684523769
"1032",0.0112818898529749
"1454",0.000832413701295567
"3287",0.382085714763254
"2258",0.00388979137083932
"637",0.02656118513749
"3389",0.0588886425750797
"2385",0.123661583207459
"2239",0.018422223577885
"3018",0.169831608525085
"2085",0.228532298418286
"1348",0.175574425605545
"1112",0.000106450262547459
"2472",0.105917614244898
"1379",0.0423918650639953
"2402",0.0581336702877123
"602",0.131096884247235
"2071",0.45670541302004
"2989",0.00911370716400835
"3362",0.236034899408433
"2588",0.0208249698633
"2133",0.026769628240758
"513",0.000887019409832002
"1273",0.000591827878929631
"1340",0.24023949396664
"293",0.004155851422354
"3000",0.383426203876334
"399",0.227035247780975
"1215",0.0150913647474983
"3068",0.474938113911589
"474",0.00796853244103288
"2817",0.0370942449842424
"667",0.00630590966245488
"2018",0.000713764459070413
"444",0.0329677326515007
"3230",0.194414322781617
"1234",0.00520779980353298
"1000",0.049286089745027
"477",0.00593640672120922
"1924",0.0894706240918659
"2612",0.339436418648496
"1920",0.104782200432143
"1766",0.0219276798256074
"2919",0.441965369927197
"1315",1.4718223983467e-05
"3099",0.115187201263086
"1696",0.499031341368855
"2161",0.00377696382028459
"2538",0.224555587584283
"913",0.00021002510429559
"2236",0.0221723811002996
"2294",0.105381497549893
"281",0.00798718812495963
"3494",0.176429071383736
"2633",0.119894886833358
"4",0.498322103915114
"2397",0.0724647431128522
"2425",0.0158913255878197
"2865",0.151760727308419
"1284",0.000286511331338156
"2526",0.412930841087747
"2930",0.286998748147551
"2214",0.0609936270474309
"2383",0.137106810696317
"972",0.179057004332424
"3136",0.00908812313273809
"2789",0.134113963963606
"1108",0.000131187742559669
"1935",0.0500109806951398
"111",0.00296103999467671
"2213",0.0609936270474309
"1164",0.160417144266259
"3074",0.376741861640094
"1438",0.00225354153109446
"3032",0.0836040345602493
"3114",0.0529535729773273
"3271",0.0152040185391676
"3038",0.0584187283759213
"208",0.259279688697256
"2355",0.492234194144253
"608",0.100750234113038
"1091",0.000487129072772786
"1120",4.54752825765496e-05
"1262",0.00120917327958959
"868",0.00294433613072666
"1070",0.00147891811391444
"894",0.000864677404648442
"3238",0.135437244036134
"1466",0.000360581401176214
"752",9.6676146731821e-06
"1146",0.304623688286801
"2576",0.0390683250074301
"1550",0.0850837188519979
"1989",0.00382439144854184
"3019",0.159145739715836
"1163",0.169733095852338
"384",0.441674704604556
"1954",0.0198180825822329
"1154",0.220913573854187
"922",0.000112477464085165
"3034",0.0731187153776468
"2458",0.223077054568609
"3378",0.0962779198166009
"1735",0.0976036840560976
"183",1.27389410741416e-05
"3443",0.114322613677824
"3513",0.0673036118958734
"2818",0.0357585290380081
"2648",0.0602529554363929
"964",0.232262470476339
"763",0.388411712316696
"2906",0.0171068224128185
"946",0.521299615613351
"133",0.00106845164932998
"1473",0.000264765467282064
"2226",0.0347140499168523
"421",0.0946460180506579
"1632",0.00153439454240128
"1429",0.00329383362473925
"3476",0.472816197389627
"277",0.0118271285365341
"669",0.00512279822101288
"90",0.0103880041692059
"2972",0.0346030819654217
"3446",0.0913550471303352
"2176",0.348130320764285
"3186",0.0550423944784005
"2666",0.0254005613228654
"750",2.1032285198158e-05
"1235",0.00449359841822879
"2740",0.0352726452030352
"3384",0.0747533201884646
"2065",0.640699884264624
"640",0.0229862309271761
"1257",0.00170994940503488
"1075",0.00120917327958959
"2129",0.0317247224053139
"1150",0.26169269435995
"961",0.254315263947558
"1812",0.00238084732580636
"3397",0.0357419916527336
"2251",0.00915874500538965
"3192",0.0368921131388597
"2118",0.0563229316248812
"876",0.00199951754325286
"2665",0.0265792613492082
"1685",2.89250921045413e-05
"2352",0.00593357641777968
"2725",0.0725440023001661
"1733",0.106120259308376
